unique_breed,matching_breed
Feline (Cat),tier_1
Shih Tzu/Poo,tier_1
Rhodesian Ridgeback/boxer Mix,tier_2
Doberdor/Lab Mix,tier_4
Cockapoo white,tier_1
Pit/Lab mix,tier_4
Labrador Retriever/ mix,tier_4
Brittany,tier_1
Poodle white and pink,tier_3
shepherd/hound,tier_1
Norwich Terrier,tier_2
Shih Tzu/ mix,tier_1
Boston Terrier Blck/Wht,tier_2
Labrador Retriever/shepherd mix,tier_4
Chug,tier_1
Dachshund Long Haired,tier_2
Black Mouth Cur Mix,tier_1
Standard Schnauzer Mix,tier_1
Maltese/Poodle Mix,tier_3
Sharpei,None
Shipoo,None
blue terrier,tier_2
Black lab,tier_4
Shih Tzu/Boston Mix,tier_2
Catahoula,tier_1
Pit mix Chocolate,tier_3
Redbone Coonhound,tier_2
Lab curl mix,tier_4
Boston/Pug,tier_2
Cur,tier_1
Lab/Plott Hound Mix,tier_3
Hound /mix,tier_1
hound/retriever mix,tier_4
Pomeranian/Blonde,tier_1
lab/mix,tier_4
Wheaten Terrier,tier_2
Staffordshire Mix,tier_1
pit,tier_4
pit bull/mix,tier_4
Treeing Walker Coonhound/mix,tier_2
Poodle Toy,tier_3
Chihuahua/minpin,tier_1
Pekingese,tier_1
Basenji,tier_1
Basenji/Shephard mix,tier_1
Yorkshire Terrier/chihuahua,tier_2
Golden Retriever Gold,tier_4
Shih Tzu Red/Wht,tier_1
Put Bull mix,tier_1
Treeing Walker Coonhound,tier_2
Chiweine,None
white Boxer,tier_4
Miniature Pinscher/mix,tier_1
Lab/Cocker Mix,tier_1
Italian Greyhound mix,tier_1
Mini Dauchund,tier_1
Chihuahua/mix,tier_1
GSD/Mastiff/ Brindle,tier_1
dachsund mix,tier_1
Chihuahua/pom mix,tier_1
Chi/Russell Mix,tier_1
pit/beagle mix,tier_2
Labrador Retriever Blck,tier_4
Weimereiner,None
Coton De Tulear,tier_1
Daschound,None
Rat Terrier Mix,tier_2
australian labradoodle,tier_3
Cavalier King Charles Spaniel mix,tier_1
bichon/poodle,tier_3
Catahoula leopard dog,tier_1
Jack Russel Mix,tier_1
American Bully Wht/Tan,tier_2
Pug Fawn,tier_1
mutt black and gold brindle,tier_1
cattle dog mix,tier_3
Chi Mix,tier_1
Shiba Inu/Husky Mix,tier_2
Lhasa Apso/poodle mix,tier_1
Siberian Husky Wht/Gray/Blck,tier_1
Shetland Sheepdog Mix,tier_3
Shih Tzu Blackish Brwn,tier_1
border mix Black/White,tier_1
Yorkshire Terrier mix,tier_2
Maine Coon mix,tier_1
Pitt,tier_1
Labrador Retriever-Chocolate,tier_4
Hound/Pitt Mix,tier_1
Chihuahua long haired,tier_1
Aussiedoodle,None
Corgi/Jack russel Mix,tier_2
Cavapoo Blck/Wht,tier_1
Chi Mix Brwn/Wht,tier_1
Mini Schnauzer,tier_1
Catahoula mix Brindle/Wht,tier_1
Schnauzer/Havanese Mix Grayish Blck,tier_1
Mini Aussie Doodle,tier_3
Lab/Hound mix,tier_3
Auss. Labradoodle Chocolate,tier_3
border mix,tier_1
Miniature Pinscher Blck/Tan,tier_1
hava-lhasa,tier_1
Tabby Gray,tier_1
Daschund,None
Jack Russell/ Pug mix,tier_1
Chihuahua/ Dacshund mix,tier_1
Great Pyrenees Mix,tier_2
Cairn Terrier mix,tier_2
Brittany Spaniel Mix,tier_1
Boston Terrier Brwn/Wht,tier_2
maltipoo mix,tier_1
Jack Russell/Corgi mix,tier_2
Shetland mix,tier_3
Mini Golden Doodle Copper/Brwn,tier_1
terrier mix Tri,tier_2
bernedoodle,None
German Shepherd mix  BROWN,tier_1
Miniature Aussie Blue Merle,tier_1
Pitt Bull Red Brindle,tier_1
basset/lab mix,tier_2
American Foxhound,tier_2
Border Collie Mix Black/White,tier_1
Boston Terrier Blue/White,tier_2
Boxer Fawn,tier_4
Great Dane Black/White Chest,tier_1
Dalmatian,tier_2
Biewer Yorkie,tier_1
pit mix/brindle,tier_1
Siberian Husky Red,tier_4
Miniature Schnauzer Gray/White,tier_1
Weimaraner Gray,tier_3
Weimaraner/Boxer Mix Black,tier_3
Yorkshire Terrier Silver/Blonde,tier_2
Yorkshire Terrier Black/Tan,tier_2
Border Collie Orange/White,tier_1
Labrador Retriever Mix Chocolate,tier_4
Chinese Shar-Pei mix,tier_1
Poodle (Standard)/RED,tier_1
Lhasa Apso mix,tier_1
Labrador Retriever/mix,tier_4
Labrador Retriever/Chocolate,tier_4
CURR/HOUND MIX,tier_1
Jack Russel Terrier,tier_2
Pit/Lab-mix,tier_4
boxer/boston terrier Mix,tier_2
Min Pin Mix,tier_1
Portuguese Podengo Pequeno,tier_1
Australian Silky Terrier,tier_2
Border Collie/Australian Shepherd Mix,tier_3
Chihuahua/Poodle,tier_3
lab/beagle,tier_2
English Cocker Spaniel,tier_1
Shih Tzu/jack russel mix,tier_1
Boxer Fawn/Wht,tier_1
Basset Hound/Beagel Mix,tier_2
DMH,None
Domestic Shorthair/Black,tier_1
Jack Russell/Jack Terrier Mix,tier_2
American Pit Bull Terrier mix,tier_2
Terrier/mix,tier_2
Black Mouth Curl Mix,tier_1
Papillon Mix,tier_1
Mini Golden Doodle,tier_4
Beagle Mix Brown & White,tier_2
Fox Terrier/Dachshound Mix,tier_2
Rottweiler Mix,tier_3
Labrador Retriever/pit mix,tier_4
Bassett Hound,tier_3
Aussie-doodle,tier_3
Boston Terrier/Blue Heeler Mix,tier_2
Rottweiler/lab Mix,tier_3
Mini Goldendoodle,tier_1
Pembroke Welsh Corgi,tier_1
Bernese Mountain Dog/Rottie Mix,tier_1
Dachsund,None
Chihuahua/Jack Russell mix,tier_1
Cavalier King Charles Spaniel/Bichon Mix,tier_1
Springer mix,tier_2
shih-poo,tier_1
German Shepherd Dog/Lab Mix,tier_1
Lab/Husky,tier_4
Old English Sheepdog,tier_1
Tea Cup Poodle,tier_3
Cava-poo,tier_1
Silkey terrier,tier_2
Cocker Spaniel/ Terrier mix,tier_1
Lab/cur mix,tier_4
Bichon Frise/Japanese Chin Mix,tier_1
American Pit Bull,tier_2
Yorkipoo,None
Cardigan Welsh Corgi,tier_2
Chihuahua/ Tan,tier_1
Beagle/ Bassett mix,tier_2
German Shepherd/Lab mix,tier_1
Chesapeake Bay Retriever/lab mix,tier_2
Long haired chihauhua,tier_1
Doberman Pinscher Red/Tan,tier_1
Laso Mix,tier_1
Dachshund/Beagle Mix,tier_2
Boxer / White,tier_4
Cavachon,None
Australian Cattle Dog Mix,tier_3
Ca de Bou,tier_1
Domestic Short-Hair,tier_1
Chihuahua/Maltese mix,tier_1
beagle/ terrier mix,tier_2
Bichon Frise Mix,tier_1
Pekingese/beagle mix,tier_2
Siberian Husky/Shepard Mix,tier_1
Aussie Lab Mix Wht/Blck,tier_3
Corgi mix,tier_2
Spaniel mix,tier_1
Shih Tzu Mix/ Blk & Wht,tier_1
dane/pit mix,tier_1
beagle/hound mix,tier_2
Jack Russel/Chi Mix,tier_1
boxer pointer mix,tier_2
German Shepard mix,tier_1
Jack Russell White w/Spots,tier_1
"American Bulldog,",tier_2
corkie,None
frenchie/boston,tier_2
St. Bernard,tier_1
shihpoo,None
sheph mix mutt,tier_1
Pitt/Hound Mix,tier_1
Cockapoo,tier_1
Boxer/Pitbull Mix,tier_4
Border Terrier Mix,tier_2
Pit /mix,tier_4
Long Haired Dachsund,tier_1
Chihuahua/ Terrier,tier_2
Shih tzu/Pekingese mix,tier_1
Golden Retriever/Spaniel mix,tier_4
Chihuahua/ Lasa Apso mix,tier_1
Yorkie/Poo,tier_1
American Stradfordshire Terrier,tier_2
Bichon Frise/Poodle Mix,tier_1
Lab Shepherd Mix,tier_1
Labrador Doodle,tier_1
Blood hound,tier_3
Golden Retriever Mix Red,tier_4
Border Collie/Kelpie mix,tier_1
Flat-coated Retriever,tier_4
Yorkiepoo,None
Doberman Pinscher Blck/Tan,tier_1
Silky Terrier,tier_2
maltese mix,tier_1
Jack russel Mix Tan/Brwn,tier_1
Shih Tzu/Poodle,tier_1
Carolina Dog Mix,tier_1
Treeing Walker Coonhound mix,tier_2
American Dingo/ pit mix,tier_2
chih/terrier mix,tier_2
Parson Russell Terrier,tier_2
Yorkie/Maltese Mix,tier_1
Lurcher,None
Weimaraner mix,tier_3
Yorkshire Terrier/mix,tier_2
Boston Terrier Mix,tier_2
Pyrenean Shepherd/mix,tier_1
Dachshund/mix,tier_2
terrier/lab,tier_4
Basset mix,tier_2
Hound/Pointer Mix,tier_2
German Shepherd Dog mix,tier_1
Cocker/Collie Mix,tier_1
Boxer/Pitt,tier_4
Husky/Golden mix,tier_4
Chinese Shar-Pei,tier_1
Beagle Tri,tier_2
Golden Retriever Wht,tier_4
Lab/Shepeherd mix,tier_4
fox hound mix,tier_1
Boxer/ bull dog mix (Pitt),tier_1
French Bulldog/Japanese Chin mix,tier_1
Shih Tzu/poodle mix,tier_1
Heeler/Pitt Mix,tier_1
Shih Tzu Multi,tier_1
Great Pyrenees/Border Collie mix,tier_2
yorki mix,tier_1
American Pit Bull Terrier,tier_2
Viszla,None
Maltese/Yorkie,tier_1
Norfolk Terrier,tier_2
Blue heeler mix,tier_1
Puggle,tier_1
Miniature Long Haired Dachshund,tier_2
Cocker Spaniel Mix,tier_1
White lab,tier_4
Labordoodle,None
Catahoula Mix,tier_1
mini labradoodle,tier_1
shepard mix,tier_1
shih tzu mix,tier_1
Wirehaired Pointing Griffon,tier_1
Staffordshire Bull Terrier,tier_1
Belgian Shepherd Dog (Malinois),tier_1
Lagotto Romagnolo,None
Daschund/Yorkie Mix,tier_1
English setter mix,tier_2
Yorkiepoo (Yorkie/Mini Poodle),tier_1
chihuahua/shih tzu mix,tier_1
Shih-Poo,tier_1
Blackmouth Cur Mix,tier_1
austrian Doodle,tier_1
Sheepadoodle,None
Schnoodle (Schnauzer Poodle),tier_1
Sheepdog,tier_1
Welsh Corgi (pembroke),tier_1
Pyrenean Mountain Dog,tier_1
